source_speaker,target_speaker,ref_file,gen_file,score
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/10.wav,0.55
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/100.wav,0.48
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/101.wav,0.44
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/102.wav,0.07
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/103.wav,0.51
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/104.wav,0.25
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/105.wav,0.29
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/106.wav,0.54
p231,p233,../baseline_data/source/p231-test/108.wav,../baseline_data/converted/p231/107.wav,0.38
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/1.wav,0.82
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/10.wav,0.05
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/100.wav,0.57
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/101.wav,0.66
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/102.wav,0.38
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/103.wav,0.37
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/104.wav,0.72
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/105.wav,0.7
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/106.wav,0.62
p233,p231,../baseline_data/source/p233-test/108.wav,../baseline_data/converted/p233/107.wav,0.86
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/1.wav,0.49
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/10.wav,0.96
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/100.wav,0.23
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/101.wav,0.84
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/102.wav,0.34
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/103.wav,0.93
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/104.wav,0.81
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/105.wav,0.28
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/106.wav,0.05
p254,p256,../baseline_data/source/p254-test/108.wav,../baseline_data/converted/p254/107.wav,0.91
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/1.wav,0.09
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/10.wav,0.58
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/100.wav,0.6
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/101.wav,0.03
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/102.wav,0.56
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/103.wav,0.9
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/104.wav,0.53
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/105.wav,0.09
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/106.wav,0.71
p256,p254,../baseline_data/source/p256-test/108.wav,../baseline_data/converted/p256/107.wav,0.24
